paranoid1,max1,paranoid2,max2,,paranoid1,max1,paranoid2,max2,,,
7,1,17,1,,7,1,17,1,,,
10,18,23,1,,3,17,6,0,,,
18,22,24,14,,8,4,1,13,,,
18,39,33,14,,0,17,9,0,,,
19,40,43,28,,1,1,10,14,,,
21,42,46,47,,2,2,3,19,,,
35,48,51,48,,14,6,5,1,,,
38,48,72,50,,3,0,21,2,,,
45,51,85,53,,7,3,13,3,,,
65,51,87,57,,20,0,2,4,,,
66,75,87,58,,1,24,0,1,,,
74,88,87,63,,8,13,0,5,,,
79,88,108,63,,5,0,21,0,,,
,,,,,,,,,,,
15,7,4,0,,15,7,4,0,,,
17,7,23,5,,2,0,19,5,,,
19,20,30,9,,2,13,7,4,,,
19,25,35,25,,0,5,5,16,,,
19,51,61,51,,0,26,26,26,,,
19,54,69,66,,0,3,8,15,,,
26,69,69,70,,7,15,0,4,,,
36,69,72,83,,10,0,3,13,,,
57,70,76,83,,21,1,4,0,,,
65,71,79,97,,8,1,3,14,,,
76,73,92,97,,11,2,13,0,,,
77,77,94,116,,1,4,2,19,,,
,,,,,,,,,,,
5,6,15,0,,5,6,15,0,,,
14,23,15,0,,9,17,0,0,,,
23,37,15,3,,9,14,0,3,,,
37,37,19,11,,14,0,4,8,,,
42,52,21,15,,5,15,2,4,,,
43,60,38,15,,1,8,17,0,,,
49,75,39,19,,6,15,1,4,,,
65,82,39,22,,16,7,0,3,,,
67,102,42,23,,2,20,3,1,,,
,,,,,,,,,,,
9,14,3,0,,9,14,3,0,,,
9,20,23,0,,0,6,20,0,,,
14,21,39,4,,5,1,16,4,,,
35,22,43,4,,21,1,4,0,,,
51,22,49,8,,16,0,6,4,,,
54,40,53,9,,3,18,4,1,,,
54,52,66,10,,0,12,13,1,,,
71,56,66,15,,17,4,0,5,,,
89,56,74,15,,18,0,8,0,,,
96,56,74,34,,7,0,0,19,,,
114,58,78,36,,18,2,4,2,,,
,,,,,,,,,,,
8,1,0,17,,8,1,0,17,,,
26,1,2,23,,18,0,2,6,,,
34,1,6,37,,8,0,4,14,,,
36,18,8,42,,2,17,2,5,,,
59,19,8,44,,23,1,0,2,,,
59,37,12,48,,0,18,4,4,,,
61,40,12,69,,2,3,0,21,,,
75,44,16,73,,14,4,4,4,,,
77,52,31,74,,2,8,15,1,,,
89,52,45,74,,12,0,14,0,,,
90,57,48,91,,1,5,3,17,,,
109,58,54,91,,19,1,6,0,,,
,,,,,,,,,,,
5,3,1,17,,5,3,1,17,,,
12,3,3,34,,7,0,2,17,,,
15,17,8,38,,3,14,5,4,,,
30,20,16,38,,15,3,8,0,,,
34,38,16,42,,4,18,0,4,,,
36,44,34,42,,2,6,18,0,,,
53,47,39,43,,17,3,5,1,,,
57,47,59,45,,4,0,20,2,,,
61,51,73,49,,4,4,14,4,,,
67,68,76,49,,6,17,3,0,,,
81,72,80,53,,14,4,4,4,,,
88,87,81,56,,7,15,1,3,,,
105,88,81,64,,17,1,0,8,,,
,,,,,,,,,,,
0,25,1,0,,0,25,1,0,,,
4,38,10,0,,4,13,9,0,,,
30,64,10,26,,26,26,0,26,,,
30,73,11,42,,0,9,1,16,,,
38,75,11,58,,8,2,0,16,,,
47,91,11,59,,9,16,0,1,,,
47,97,15,75,,0,6,4,16,,,
50,98,36,76,,3,1,21,1,,,
50,107,40,89,,0,9,4,13,,,
,,,,,,,,,,,
5,0,20,1,,5,0,20,1,,,
10,0,41,1,,5,0,21,0,,,
13,20,42,3,,3,20,1,2,,,
28,26,43,7,,15,6,1,4,,,
29,26,67,8,,1,0,24,1,,,
34,28,84,10,,5,2,17,2,,,
34,39,86,23,,0,11,2,13,,,
38,44,86,40,,4,5,0,17,,,
41,44,90,59,,3,0,4,19,,,
43,62,92,63,,2,18,2,4,,,
69,88,118,63,,26,26,26,0,,,
,,,,,,,,,,,
0,20,0,6,,0,20,0,6,,,
3,23,20,6,,3,3,20,0,,,
6,25,25,22,,3,2,5,16,,,
19,34,29,22,,13,9,4,0,,,
26,34,33,37,,7,0,4,15,,,
26,36,33,61,,0,2,0,24,,,
26,61,33,62,,0,25,0,1,,,
42,63,37,66,,16,2,4,4,,,
43,69,37,85,,1,6,0,19,,,
47,70,44,99,,4,1,7,14,,,
47,73,49,117,,0,3,5,18,,,
,,,,,,,,,,,
1,1,23,1,,1,1,23,1,,,
14,13,23,2,,13,12,0,1,,,
18,21,23,16,,4,8,0,14,,,
22,21,44,17,,4,0,21,1,,,
24,34,44,28,,2,13,0,11,,,
24,49,46,37,,0,15,2,9,,,
25,49,62,46,,1,0,16,9,,,
26,58,75,49,,1,9,13,3,,,
27,83,75,49,,1,25,0,0,,,
31,87,90,52,,4,4,15,3,,,
48,87,95,56,,17,0,5,4,,,
48,89,116,59,,0,2,21,3,,,
,,,,,,,,,,,
13,1,2,10,,13,1,2,10,,,
31,2,8,11,,18,1,6,1,,,
44,2,18,14,,13,0,10,3,,,
44,27,19,14,,0,25,1,0,,,
46,31,24,29,,2,4,5,15,,,
46,40,28,42,,0,9,4,13,,,
60,41,33,48,,14,1,5,6,,,
74,47,39,48,,14,6,6,0,,,
78,47,47,62,,4,0,8,14,,,
81,52,64,63,,3,5,17,1,,,
85,53,68,80,,4,1,4,17,,,
91,53,82,86,,6,0,14,6,,,
104,64,82,88,,13,11,0,2,,,
,,,,,,,,,,,
5,5,13,3,,5,5,13,3,,,
22,5,13,12,,17,0,0,9,,,
25,28,13,12,,3,23,0,0,,,
25,44,18,17,,0,16,5,5,,,
31,60,22,17,,6,16,4,0,,,
35,64,26,31,,4,4,4,14,,,
59,65,26,32,,24,1,0,1,,,
64,68,40,36,,5,3,14,4,,,
73,82,43,36,,9,14,3,0,,,
80,83,44,53,,7,1,1,17,,,
80,99,46,61,,0,16,2,8,,,
80,103,51,78,,0,4,5,17,,,
,,,,,,,,,,,
2,0,24,0,,2,0,24,0,,,
2,0,39,11,,0,0,15,11,,,
7,0,45,26,,5,0,6,15,,,
7,19,51,27,,0,19,6,1,,,
21,25,52,32,,14,6,1,5,,,
34,32,52,38,,13,7,0,6,,,
37,51,52,42,,3,19,0,4,,,
40,56,53,59,,3,5,1,17,,,
60,57,53,64,,20,1,0,5,,,
86,83,79,64,,26,26,26,0,,,
95,84,79,80,,9,1,0,16,,,
111,94,79,80,,16,10,0,0,,,
,,,,,,,,,,,
0,8,0,18,,0,8,0,18,,,
10,21,2,19,,10,13,2,1,,,
24,23,2,29,,14,2,0,10,,,
31,40,2,31,,7,17,0,2,,,
33,41,23,33,,2,1,21,2,,,
43,43,24,46,,10,2,1,13,,,
56,44,36,46,,13,1,12,0,,,
57,46,58,47,,1,2,22,1,,,
62,63,61,48,,5,17,3,1,,,
62,83,65,50,,0,20,4,2,,,
62,97,71,56,,0,14,6,6,,,
62,101,92,57,,0,4,21,1,,,
,,,,,,,,,,,
15,0,0,11,,15,0,0,11,,,
15,6,20,11,,0,6,20,0,,,
19,20,28,11,,4,14,8,0,,,
35,22,32,15,,16,2,4,4,,,
35,46,32,17,,0,24,0,2,,,
37,63,39,17,,2,17,7,0,,,
46,67,39,30,,9,4,0,13,,,
65,72,39,32,,19,5,0,2,,,
67,77,39,51,,2,5,0,19,,,
80,81,43,56,,13,4,4,5,,,
80,103,43,60,,0,22,0,4,,,
,,,,,,,,,,,
19,0,7,0,,19,0,7,0,,,
23,13,8,8,,4,13,1,8,,,
29,30,8,11,,6,17,0,3,,,
30,32,16,26,,1,2,8,15,,,
37,37,30,26,,7,5,14,0,,,
43,51,31,31,,6,14,1,5,,,
43,57,31,51,,0,6,0,20,,,
47,57,31,73,,4,0,0,22,,,
51,64,46,73,,4,7,15,0,,,
53,66,50,91,,2,2,4,18,,,
60,66,52,108,,7,0,2,17,,,
,,,,,,,,,,,
13,0,5,8,,13,0,5,8,,,
15,4,7,26,,2,4,2,18,,,
15,17,7,39,,0,13,0,13,,,
15,29,20,40,,0,12,13,1,,,
19,30,37,44,,4,1,17,4,,,
23,51,37,45,,4,21,0,1,,,
31,51,55,45,,8,0,18,0,,,
34,66,56,52,,3,15,1,7,,,
48,66,64,56,,14,0,8,4,,,
54,72,65,69,,6,6,1,13,,,
59,72,68,87,,5,0,3,18,,,
59,76,75,102,,0,4,7,15,,,
,,,,,,,,,,,
8,2,15,1,,8,2,15,1,,,
10,22,18,2,,2,20,3,1,,,
26,26,18,8,,16,4,0,6,,,
34,40,18,12,,8,14,0,4,,,
35,44,21,30,,1,4,3,18,,,
36,55,21,44,,1,11,0,14,,,
55,58,21,48,,19,3,0,4,,,
77,58,21,52,,22,0,0,4,,,
92,60,28,54,,15,2,7,2,,,
116,60,29,55,,24,0,1,1,,,
,,,,,,,,,,,
7,0,15,4,,7,0,15,4,,,
7,17,20,8,,0,17,5,4,,,
10,17,40,11,,3,0,20,3,,,
12,40,41,11,,2,23,1,0,,,
16,60,41,13,,4,20,0,2,,,
16,79,44,17,,0,19,3,4,,,
17,99,44,22,,1,20,0,5,,,
30,99,57,22,,13,0,13,0,,,
32,112,59,31,,2,13,2,9,,,
,,,,,,,,,,,
1,2,22,1,,1,2,22,1,,,
19,2,26,5,,18,0,4,4,,,
20,4,33,21,,1,2,7,16,,,
20,26,35,23,,0,22,2,2,,,
21,49,35,25,,1,23,0,2,,,
21,51,55,29,,0,2,20,4,,,
29,51,69,33,,8,0,14,4,,,
32,69,69,38,,3,18,0,5,,,
37,82,70,45,,5,13,1,7,,,
37,89,87,47,,0,7,17,2,,,
40,96,87,63,,3,7,0,16,,,
57,101,87,67,,17,5,0,4,,,
,,,,,,,,,,,
4,7,0,15,,4,7,0,15,,,
22,14,0,16,,18,7,0,1,,,
23,35,0,20,,1,21,0,4,,,
39,38,6,21,,16,3,6,1,,,
43,41,9,37,,4,3,3,16,,,
46,43,11,56,,3,2,2,19,,,
46,43,34,59,,0,0,23,3,,,
49,43,39,77,,3,0,5,18,,,
49,53,55,77,,0,10,16,0,,,
51,58,57,94,,2,5,2,17,,,
54,58,73,101,,3,0,16,7,,,
,,,,,,,,,,,
6,0,19,1,,6,0,19,1,,,
12,16,19,5,,6,16,0,4,,,
30,23,20,5,,18,7,1,0,,,
44,27,21,12,,14,4,1,7,,,
47,47,21,15,,3,20,0,3,,,
48,60,26,22,,1,13,5,7,,,
56,60,28,38,,8,0,2,16,,,
64,73,30,41,,8,13,2,3,,,
68,76,44,46,,4,3,14,5,,,
69,76,44,71,,1,0,0,25,,,
82,84,46,74,,13,8,2,3,,,
84,107,46,75,,2,23,0,1,,,
,,,,,,,,,,,
2,5,18,1,,2,5,18,1,,,
6,9,18,19,,4,4,0,18,,,
11,11,36,20,,5,2,18,1,,,
32,11,37,24,,21,0,1,4,,,
40,13,50,27,,8,2,13,3,,,
40,21,50,45,,0,8,0,18,,,
40,27,70,45,,0,6,20,0,,,
40,31,86,51,,0,4,16,6,,,
48,45,88,53,,8,14,2,2,,,
48,48,103,61,,0,3,15,8,,,
,,,,,,,,,,,
6,20,0,0,,6,20,0,0,,,
21,21,2,8,,15,1,2,8,,,
22,26,2,28,,1,5,0,20,,,
22,26,8,48,,0,0,6,20,,,
22,30,28,50,,0,4,20,2,,,
36,33,29,58,,14,3,1,8,,,
41,34,44,63,,5,1,15,5,,,
46,34,62,66,,5,0,18,3,,,
62,42,64,66,,16,8,2,0,,,
87,43,64,66,,25,1,0,0,,,
97,43,79,67,,10,0,15,1,,,
98,52,82,80,,1,9,3,13,,,
108,55,82,93,,10,3,0,13,,,
,,,,,,,,,,,
0,0,17,9,,0,0,17,9,,,
8,13,18,13,,8,13,1,4,,,
10,24,18,26,,2,11,0,13,,,
16,25,37,26,,6,1,19,0,,,
18,45,39,28,,2,20,2,2,,,
37,45,39,35,,19,0,0,7,,,
58,45,44,35,,21,0,5,0,,,
69,59,44,36,,11,14,0,1,,,
75,59,60,40,,6,0,16,4,,,
95,59,66,40,,20,0,6,0,,,
95,62,79,50,,0,3,13,10,,,
95,70,96,51,,0,8,17,1,,,
96,83,100,59,,1,13,4,8,,,
,,,,,,,,,,,
10,14,0,2,,10,14,0,2,,,
35,14,1,2,,25,0,1,0,,,
46,28,1,3,,11,14,0,1,,,
56,28,14,6,,10,0,13,3,,,
66,28,15,21,,10,0,1,15,,,
85,33,16,22,,19,5,1,1,,,
85,46,17,34,,0,13,1,12,,,
91,46,37,34,,6,0,20,0,,,
95,46,39,54,,4,0,2,20,,,
95,47,54,64,,0,1,15,10,,,
102,51,55,78,,7,4,1,14,,,
,,,,,,,,,,,
6,0,1,19,,6,0,1,19,,,
23,5,3,21,,17,5,2,2,,,
31,5,8,34,,8,0,5,13,,,
32,20,8,44,,1,15,0,10,,,
33,20,33,44,,1,0,25,0,,,
33,21,37,65,,0,1,4,21,,,
34,26,41,81,,1,5,4,16,,,
40,30,44,94,,6,4,3,13,,,
40,38,60,96,,0,8,16,2,,,
40,42,65,113,,0,4,5,17,,,
,,,,,,,,,,,
4,2,20,0,,4,2,20,0,,,
4,4,39,5,,0,2,19,5,,,
12,8,40,18,,8,4,1,13,,,
15,8,42,39,,3,0,2,21,,,
15,12,58,45,,0,4,16,6,,,
18,13,62,63,,3,1,4,18,,,
40,13,66,63,,22,0,4,0,,,
61,15,66,66,,21,2,0,3,,,
78,15,75,66,,17,0,9,0,,,
93,15,82,70,,15,0,7,4,,,
93,15,86,92,,0,0,4,22,,,
94,16,110,92,,1,1,24,0,,,
,,,,,,,,,,,
19,0,7,0,,19,0,7,0,,,
19,18,10,5,,0,18,3,5,,,
23,18,23,14,,4,0,13,9,,,
30,18,37,19,,7,0,14,5,,,
46,22,43,19,,16,4,6,0,,,
50,26,47,33,,4,4,4,14,,,
52,36,60,34,,2,10,13,1,,,
59,55,60,34,,7,19,0,0,,,
59,76,61,38,,0,21,1,4,,,
59,81,62,58,,0,5,1,20,,,
77,84,67,58,,18,3,5,0,,,
79,85,72,76,,2,1,5,18,,,
84,91,86,77,,5,6,14,1,,,
106,92,87,79,,22,1,1,2,,,
,,,,,,,,,,,
0,6,14,6,,0,6,14,6,,,
0,8,20,24,,0,2,6,18,,,
1,12,41,24,,1,4,21,0,,,
3,31,45,25,,2,19,4,1,,,
4,31,45,50,,1,0,0,25,,,
6,33,46,71,,2,2,1,21,,,
6,35,70,71,,0,2,24,0,,,
22,38,77,71,,16,3,7,0,,,
25,45,80,84,,3,7,3,13,,,
31,47,80,102,,6,2,0,18,,,
,,,,,,,,,,,
7,1,14,4,,7,1,14,4,,,
8,1,14,29,,1,0,0,25,,,
14,1,21,42,,6,0,7,13,,,
15,3,21,65,,1,2,0,23,,,
22,17,22,69,,7,14,1,4,,,
26,30,26,74,,4,13,4,5,,,
39,35,26,82,,13,5,0,8,,,
44,35,47,82,,5,0,21,0,,,
63,41,47,83,,19,6,0,1,,,
69,54,54,83,,6,13,7,0,,,
72,72,59,83,,3,18,5,0,,,
85,80,64,83,,13,8,5,0,,,
101,86,64,87,,16,6,0,4,,,
,,,,,,,,,,,
2,6,1,17,,2,6,1,17,,,
3,11,8,30,,1,5,7,13,,,
3,16,22,37,,0,5,14,7,,,
4,20,43,37,,1,4,21,0,,,
4,28,44,54,,0,8,1,17,,,
4,35,61,56,,0,7,17,2,,,
21,39,61,61,,17,4,0,5,,,
41,44,61,62,,20,5,0,1,,,
45,45,66,78,,4,1,5,16,,,
46,48,70,96,,1,3,4,18,,,
64,51,70,101,,18,3,0,5,,,
,,,,,,,,,,,
0,6,15,5,,0,6,15,5,,,
1,11,33,7,,1,5,18,2,,,
6,29,36,7,,5,18,3,0,,,
9,33,52,10,,3,4,16,3,,,
13,33,65,19,,4,0,13,9,,,
14,58,65,19,,1,25,0,0,,,
32,62,69,19,,18,4,4,0,,,
50,67,69,22,,18,5,0,3,,,
59,84,69,22,,9,17,0,0,,,
84,84,69,23,,25,0,0,1,,,
84,91,83,28,,0,7,14,5,,,
87,105,83,37,,3,14,0,9,,,
,,,,,,,,,,,
13,1,6,6,,13,1,6,6,,,
15,15,13,9,,2,14,7,3,,,
15,23,30,10,,0,8,17,1,,,
41,23,56,36,,26,0,26,26,,,
42,37,62,41,,1,14,6,5,,,
56,41,70,41,,14,4,8,0,,,
56,41,88,49,,0,0,18,8,,,
56,54,99,51,,0,13,11,2,,,
56,78,100,52,,0,24,1,1,,,
,,,,,,,,,,,
6,0,5,15,,6,0,5,15,,,
6,8,21,17,,0,8,16,2,,,
6,28,27,17,,0,20,6,0,,,
6,37,27,34,,0,9,0,17,,,
6,40,31,53,,0,3,4,19,,,
28,40,35,53,,22,0,4,0,,,
30,43,56,53,,2,3,21,0,,,
39,43,71,55,,9,0,15,2,,,
57,48,74,55,,18,5,3,0,,,
73,52,78,57,,16,4,4,2,,,
73,53,91,69,,0,1,13,12,,,
75,53,99,85,,2,0,8,16,,,
88,56,103,91,,13,3,4,6,,,
,,,,,,,,,,,
6,1,4,15,,6,1,4,15,,,
6,2,16,28,,0,1,12,13,,,
6,5,25,42,,0,3,9,14,,,
23,5,30,46,,17,0,5,4,,,
30,20,30,50,,7,15,0,4,,,
36,20,31,69,,6,0,1,19,,,
46,20,31,85,,10,0,0,16,,,
47,36,37,88,,1,16,6,3,,,
51,49,46,88,,4,13,9,0,,,
65,49,54,92,,14,0,8,4,,,
70,53,71,92,,5,4,17,0,,,
73,57,84,98,,3,4,13,6,,,
77,75,88,98,,4,18,4,0,,,
96,78,89,101,,19,3,1,3,,,
,,,,,,,,,,,
5,7,14,0,,5,7,14,0,,,
6,21,20,5,,1,14,6,5,,,
20,21,28,9,,14,0,8,4,,,
25,22,41,16,,5,1,13,7,,,
25,46,41,18,,0,24,0,2,,,
25,47,64,20,,0,1,23,2,,,
48,47,67,20,,23,0,3,0,,,
65,47,68,28,,17,0,1,8,,,
78,47,69,40,,13,0,1,12,,,
81,47,69,63,,3,0,0,23,,,
84,61,74,67,,3,14,5,4,,,
92,74,76,70,,8,13,2,3,,,
97,89,77,75,,5,15,1,5,,,
98,91,85,90,,1,2,8,15,,,
98,108,89,95,,0,17,4,5,,,
,,,,,,,,,,,
16,0,5,5,,16,0,5,5,,,
37,5,5,5,,21,5,0,0,,,
48,18,7,5,,11,13,2,0,,,
63,18,12,11,,15,0,5,6,,,
81,22,15,12,,18,4,3,1,,,
90,35,15,16,,9,13,0,4,,,
107,37,20,18,,17,2,5,2,,,
,,,,,,,,,,,
0,18,2,6,,0,18,2,6,,,
17,23,6,6,,17,5,4,0,,,
18,23,14,23,,1,0,8,17,,,
19,28,27,30,,1,5,13,7,,,
19,28,28,55,,0,0,1,25,,,
19,36,28,73,,0,8,0,18,,,
21,60,28,73,,2,24,0,0,,,
21,82,31,74,,0,22,3,1,,,
34,88,38,74,,13,6,7,0,,,
50,96,38,76,,16,8,0,2,,,
52,97,57,80,,2,1,19,4,,,
63,110,57,82,,11,13,0,2,,,
,,,,,,,,,,,
2,6,0,18,,2,6,0,18,,,
28,6,26,44,,26,0,26,26,,,
30,23,29,48,,2,17,3,4,,,
35,36,31,54,,5,13,2,6,,,
48,38,31,65,,13,2,0,11,,,
49,43,34,82,,1,5,3,17,,,
63,49,37,85,,14,6,3,3,,,
65,51,57,87,,2,2,20,2,,,
65,56,57,108,,0,5,0,21,,,
,,,,,,,,,,,
19,0,7,0,,19,0,7,0,,,
19,4,12,17,,0,4,5,17,,,
33,4,16,25,,14,0,4,8,,,
33,11,22,38,,0,7,6,13,,,
33,23,36,38,,0,12,14,0,,,
33,32,53,38,,0,9,17,0,,,
38,47,59,38,,5,15,6,0,,,
42,47,62,57,,4,0,3,19,,,
42,49,80,63,,0,2,18,6,,,
59,53,80,68,,17,4,0,5,,,
60,61,95,70,,1,8,15,2,,,
65,67,110,70,,5,6,15,0,,,
,,,,,,,,,,,
2,10,1,13,,2,10,1,13,,,
2,23,14,13,,0,13,13,0,,,
17,27,21,13,,15,4,7,0,,,
17,28,46,13,,0,1,25,0,,,
33,28,51,18,,16,0,5,5,,,
50,36,52,18,,17,8,1,0,,,
54,40,57,31,,4,4,5,13,,,
56,41,74,37,,2,1,17,6,,,
58,42,83,51,,2,1,9,14,,,
80,43,85,52,,22,1,2,1,,,
96,53,85,52,,16,10,0,0,,,
103,71,86,52,,7,18,1,0,,,
,,,,,,,,,,,
2,7,0,17,,2,7,0,17,,,
15,12,6,19,,13,5,6,2,,,
25,12,21,20,,10,0,15,1,,,
25,16,23,40,,0,4,2,20,,,
46,16,24,44,,21,0,1,4,,,
46,38,28,44,,0,22,4,0,,,
56,39,30,57,,10,1,2,13,,,
61,46,31,70,,5,7,1,13,,,
65,47,45,77,,4,1,14,7,,,
72,52,45,91,,7,5,0,14,,,
82,54,46,104,,10,2,1,13,,,
,,,,,,,,,,,
14,6,0,6,,14,6,0,6,,,
18,27,1,6,,4,21,1,0,,,
19,32,18,9,,1,5,17,3,,,
28,48,19,9,,9,16,1,0,,,
34,50,24,22,,6,2,5,13,,,
34,51,40,31,,0,1,16,9,,,
50,51,49,32,,16,0,9,1,,,
50,52,69,37,,0,1,20,5,,,
51,76,69,38,,1,24,0,1,,,
51,89,73,47,,0,13,4,9,,,
68,93,73,52,,17,4,0,5,,,
85,94,81,52,,17,1,8,0,,,
86,99,95,58,,1,5,14,6,,,
86,99,110,69,,0,0,15,11,,,
,,,,,,,,,,,
6,14,6,0,,6,14,6,0,,,
11,33,8,0,,5,19,2,0,,,
12,34,27,5,,1,1,19,5,,,
30,36,28,10,,18,2,1,5,,,
33,37,50,10,,3,1,22,0,,,
47,37,56,16,,14,0,6,6,,,
48,37,56,41,,1,0,0,25,,,
65,41,57,45,,17,4,1,4,,,
80,48,57,49,,15,7,0,4,,,
81,72,57,50,,1,24,0,1,,,
81,72,58,75,,0,0,1,25,,,
81,89,65,77,,0,17,7,2,,,
85,103,72,78,,4,14,7,1,,,
,,,,,,,,,,,
5,4,0,17,,5,4,0,17,,,
8,7,2,35,,3,3,2,18,,,
15,7,2,54,,7,0,0,19,,,
18,7,10,69,,3,0,8,15,,,
22,7,26,75,,4,0,16,6,,,
36,10,32,78,,14,3,6,3,,,
60,10,33,79,,24,0,1,1,,,
75,19,35,79,,15,9,2,0,,,
81,34,39,80,,6,15,4,1,,,
101,35,43,81,,20,1,4,1,,,
,,,,,,,,,,,
18,0,1,7,,18,0,1,7,,,
23,1,6,22,,5,1,5,15,,,
42,3,7,26,,19,2,1,4,,,
55,3,7,39,,13,0,0,13,,,
59,7,7,57,,4,4,0,18,,,
62,22,11,61,,3,15,4,4,,,
65,22,12,83,,3,0,1,22,,,
78,28,14,88,,13,6,2,5,,,
86,32,15,101,,8,4,1,13,,,
,,,,,,,,,,,
3,4,16,3,,3,4,16,3,,,
9,7,17,19,,6,3,1,16,,,
13,24,18,23,,4,17,1,4,,,
26,32,18,28,,13,8,0,5,,,
44,32,23,31,,18,0,5,3,,,
59,39,24,34,,15,7,1,3,,,
63,60,25,34,,4,21,1,0,,,
67,64,29,48,,4,4,4,14,,,
83,70,33,48,,16,6,4,0,,,
95,71,33,61,,12,1,0,13,,,
95,71,40,80,,0,0,7,19,,,
95,71,45,101,,0,0,5,21,,,
,,,,,,,,,,,
1,5,2,18,,1,5,2,18,,,
14,14,2,22,,13,9,0,4,,,
31,15,2,30,,17,1,0,8,,,
33,20,6,45,,2,5,4,15,,,
34,28,6,62,,1,8,0,17,,,
53,31,10,62,,19,3,4,0,,,
58,31,16,77,,5,0,6,15,,,
84,57,42,77,,26,26,26,0,,,
91,70,48,77,,7,13,6,0,,,
92,70,67,83,,1,0,19,6,,,
92,70,71,105,,0,0,4,22,,,
,,,,,,,,,,,
2,0,24,0,,2,0,24,0,,,
16,4,24,8,,14,4,0,8,,,
21,23,24,10,,5,19,0,2,,,
21,44,24,15,,0,21,0,5,,,
21,57,25,27,,0,13,1,12,,,
21,76,26,33,,0,19,1,6,,,
21,85,43,33,,0,9,17,0,,,
21,92,56,39,,0,7,13,6,,,
21,102,72,39,,0,10,16,0,,,
,,,,,,,,,,,
,,,,,paranoid1,max1,paranoid2,max2,,paranoid,max
,,,,average,6.882661996,6.61295972,6.360770578,6.781085814,,6.621716287,6.697022767
,,,,standard devation,6.949332715,7.038673133,7.049160863,6.98163452,,7.001225724,7.007643872
